Non-GPO,GPO
dl41.numcomnterms   ,payment_performance.payment_full.num_common_terms
dl41.paytoterms     ,payment_performance.payment_full.payment_to_terms
dl41.regnumber      ,?
dl41.slowestmth_mm  ,payment_performance.payment_full.slowest_month
dl41.slowestmth_yyyy,payment_performance.payment_full.slowest_month
dl41.slowestpaymnt  ,payment_performance.payment_full.slowest_payment
dl41.supppaypattn   ,payment_performance.payment_full.supp_payment_pattern
dl41.unpaidaccs     ,payment_performance.payment_full.unpaid_accounts_details
dl41._seq           ,?
dl42.apptslast12    ,management_info.num_appointments_last12
dl42.currdirshipslast12,management_info.num_curr_director_last12
dl42.dirsavgage     ,management_info.director_avg_age
dl42.dirshipavglen  ,management_info.director_avg_length
dl42.latestannualret_dd,management_info.latest_returns
dl42.latestannualret_mm,management_info.latest_returns
dl42.latestannualret_yyyy,management_info.latest_returns
dl42.regnumber      ,?
dl42.resnslast12    ,management_info.num_resignations_last12
dl42.totcurrdirs    ,management_info.num_curr_dirs
dl42.totdirs        ,management_info.num_dirs
dl42.totdisquals    ,management_info.num_disqualifications
dl42.totprevdirs    ,management_info.num_prev_dirs
dl42.totsecretaries ,management_info.num_secs
dl42._seq           ,?
dl48                ,limited_company_cifas.limited_company_cifas_details
dl49.numcifasrecs   ,limited_company_cifas.limited_company_cifas_summary.num_cifas_records
dl49.regnumber      ,?
dl49._seq           ,?
dl52                ,legal_notices.notice6253
dl53                ,cc_js.ccj_detail    
dl54                ,legal_notices.wind_up.petition
dl55                ,legal_notices.wind_up.dismissal
dl56                ,legal_notices.meeting_creditors
dl57                ,legal_notices.wind_up.resolution
dl58                ,legal_notices.wind_up.order
dl59                ,legal_notices.administrators.appointment
dl61                ,legal_notices.liquidators
dl62                ,legal_notices.vol_arrangement
dl65                ,mortgages.mortgage_detail
dl66                ,legal_notices.receiver.appointment
dl67                ,legal_notices.receiver.cessation
dl68                ,corporate_structure.subsidiaries.uk_subsidiaries
dl69.numdissimmedsubsids,corporate_structure.subsidiaries.total_num_dissolved_liquidated_immediate_subs
dl69.numdormimmedsubsids,corporate_structure.subsidiaries.total_num_dormant_immediate_subs
dl69.numimmedsubsids,corporate_structure.subsidiaries.total_num_immediate_subs
dl69.numliveimmedsubsids,corporate_structure.subsidiaries.total_num_live_immediate_subs
dl69.numnestedsubsids,corporate_structure.subsidiaries.total_num_nested_subs
dl69.numsubsids     ,corporate_structure.subsidiaries.total_subs
dl69.regnumber      ,?
dl69.totelements    ,corporate_structure.subsidiaries.total_elements
dl69.treeposition   ,corporate_structure.subsidiaries.tree_position
dl69._seq           ,?
dl70.regnumber      ,?
dl70.totnumforeignsubsids,corporate_structure.subsidiaries.total_num_overseas_subs
dl70.totnumsubsids  ,corporate_structure.subsidiaries.total_num_subs
dl70.totnumuksubsids,corporate_structure.subsidiaries.total_num_uk_subs
dl70._seq           ,?
dl72                ,management_info.directors.current_director
dl73                ,management_info.directors.previous_director
dl74                ,management_info.secretaries.current_secretary
dl75                ,management_info.secretaries.previous_secretary
dl76.overrideind    ,commercial_delphi.override_indicator
dl76.regnumber      ,?
dl76.riskband       ,commercial_delphi.comm_delphi_band
dl76.riskbandtext   ,commercial_delphi.comm_delphi_band_text
dl76.riskscore      ,commercial_delphi.comm_delphi_score
dl76.stabilityodds  ,commercial_delphi.stability_odds
dl76._seq           ,?
dl77.creditrating   ,commercial_delphi.credit_rating
dl77.overrideind    ,commercial_delphi.credit_rating_override_indicator
dl77.regnumber      ,?
dl77._seq           ,?
dl78.creditlimit    ,commercial_delphi.credit_limit
dl78.overrideind    ,commercial_delphi.credit_limit_override_indicator
dl78.regnumber      ,?
dl78._seq           ,?
dl79.conclusiontext ,commercial_delphi.conclusion_text
dl79.credittext1    ,commercial_delphi.credit_text_line1
dl79.credittext2    ,commercial_delphi.credit_text_line2
dl79.credittext3    ,commercial_delphi.credit_text_line3
dl79.credittext4    ,commercial_delphi.credit_text_line4
dl79.credittext5    ,commercial_delphi.credit_text_line5
dl79.lenconclusion  ,?
dl79.lencredittext  ,?
dl79.parentind      ,commercial_delphi.parent_indicator
dl79.regnumber      ,?
dl79.textoverrideind,commercial_delphi.credit_text_override_indicator
dl79._seq           ,?
dl80.compage        ,scoring_data.company_age
dl80.hassubsid      ,scoring_data.has_subsidiaries
dl80.issubsid       ,scoring_data.is_subsidiary
dl80.issuedcap      ,scoring_data.issued_capital
dl80.issuedcapcurr  ,scoring_data.currency
dl80.legalstatus    ,scoring_data.legal_status
dl80.memchnglst12mth,scoring_data.num_mem_arts_changes_last12_months
dl80.numemployees   ,scoring_data.num_employees
dl80.region         ,scoring_data.region 
dl80.regnumber      ,?
dl80.regoffchnglst12mth,scoring_data.num_reg_office_changes_last12_months
dl80.regoffcifasflg ,scoring_data.reg_office_cifas_indicator
dl80.siccode1980    ,scoring_data.sic_information1980.code
dl80.siccode1992    ,scoring_data.sic_information1992.code
dl80.tslregoffchg   ,scoring_data.time_since_last_reg_office_change
dl80._seq           ,?
dl81.curtoprevdirlst12mth,scoring_data.proportion_curr_dirs_to_prev_dir_last12
dl81.incompdirflg   ,scoring_data.incomplete_dirs_flag
dl81.lastdirappt    ,scoring_data.time_since_last_dir_appt
dl81.numcurdirs     ,scoring_data.num_curr_dirs
dl81.numdirincorpagents,scoring_data.num_dirs_incorp_agents
dl81.numdirwshares  ,scoring_data.num_dirs_holding_shares
dl81.numdisqcurdirs ,scoring_data.num_disq_curr_dirs
dl81.oldestcurdirage,scoring_data.oldest_curr_dir_age
dl81.percapptslst12mth,scoring_data.num_appointments_last12
dl81.percdirresiduk ,scoring_data.percentage_dirs_resident_uk
dl81.regnumber      ,?
dl81._seq           ,?
dl82.lastadmnrecappt,scoring_data.time_since_last_appt_receiver
dl82.lastadmnrecceasing,scoring_data.time_since_last_receiver_ceasing
dl82.lastapptofadminr,scoring_data.time_since_last_appt_administrator
dl82.lastcompdisslvenot,scoring_data.time_since_last_company_dissolved
dl82.lastcompliquidrappt,scoring_data.time_since_last_appt_comp_liquidator
dl82.lastcompreinstatdnot,scoring_data.time_since_last_company_reinstated
dl82.lastcompwinduppet,scoring_data.time_since_last_petition_comp_wind_up
dl82.lastderogdataitem,scoring_data.last_derogatory_item
dl82.lastdischrgadminr,scoring_data.time_since_last_discharge_administrator
dl82.lastdiscintentodisslvenot,?
dl82.lastdismissedpet,scoring_data.time_since_last_dismissed_petition
dl82.lastintentodisslvenot,scoring_data.time_since_last_intention_to_dissolve
dl82.lastmeetofcred ,scoring_data.time_since_last_meeting_creditors
dl82.lastreswindup  ,scoring_data.time_since_last_resolution_wind_up
dl82.lastvolarrgmtappvl,scoring_data.time_since_last_approval_vol_arrangement
dl82.lastvolarrgmtcompn,scoring_data.time_since_last_completion_vol_arrangement
dl82.lastvolarrgmtrevn,scoring_data.time_since_last_revocation_vol_arrangement
dl82.lastvolarrgmtsuspn,scoring_data.time_since_last_suspension_vol_arrangement
dl82.lastvolliquidrappt,scoring_data.time_since_last_appt_vol_liquidator
dl82.lastwinduporder,scoring_data.time_since_last_wind_up_order
dl82.numadmnrecappts,scoring_data.num_appt_receiver
dl82.numadmnrecceasing,scoring_data.num_receiver_ceasing
dl82.numapptofadminrs,scoring_data.num_appt_administrator
dl82.numcompdisslvenots,scoring_data.num_company_dissolved
dl82.numcompliquidrappts,scoring_data.num_appt_comp_liquidator
dl82.numcompreinstatdnots,scoring_data.num_company_reinstated
dl82.numcompwinduppets,scoring_data.num_petition_comp_wind_up
dl82.numdischrgadminrs,scoring_data.num_discharge_administrator
dl82.numdiscintentodisslvenots,?
dl82.numdismissedpets,scoring_data.num_dismissed_petition
dl82.numintentodisslvenots,scoring_data.num_intention_to_dissolve
dl82.nummeetcredrs  ,scoring_data.num_meetings_creditors
dl82.numreswindup   ,scoring_data.num_resolution_wind_up
